,user,date,items
56,29129,2020-09-18T11:16:23+05:30,"[18727, 17448, 21807, 21453, 17361, 16081, 17363, 17365, 22487, 22232, 17497, 19803, 17375, 17376, 17378, 19427, 17772, 17400, 17019, 17407]"
57,49669,2020-09-18T00:45:27+05:30,[23468]
58,49663,2020-09-18T00:24:21+05:30,[23461]
59,49663,2020-09-18T00:20:56+05:30,[23450]
60,49663,2020-09-18T00:03:28+05:30,[23451]
61,49652,2020-09-17T21:50:30+05:30,[23449]
62,15119,2020-09-17T20:32:22+05:30,[20976]
63,49646,2020-09-17T20:24:12+05:30,"[21682, 21678]"
64,49646,2020-09-17T20:20:58+05:30,"[21682, 21678]"
65,123,2020-09-17T20:16:42+05:30,[18771]
66,123,2020-07-06T11:19:39+05:30,"[17747, 17230]"
67,367,2020-09-17T18:45:18+05:30,"[21682, 21683]"
68,367,2020-09-17T15:22:23+05:30,"[21864, 21865]"
69,367,2020-09-16T18:33:30+05:30,"[22208, 22074]"
70,367,2020-09-16T15:21:29+05:30,"[21682, 21683]"
71,367,2020-09-15T19:27:44+05:30,"[20139, 20140]"
72,367,2020-09-15T17:06:33+05:30,[22273]
73,367,2020-09-14T18:49:59+05:30,"[20138, 20139]"
74,367,2020-09-14T15:53:35+05:30,"[21682, 21683]"
75,367,2020-09-12T16:19:28+05:30,"[20138, 20139]"
76,367,2020-09-11T18:04:23+05:30,"[22273, 22382, 22383]"
77,367,2020-09-11T15:39:12+05:30,"[21682, 21683]"
78,367,2020-09-10T18:24:25+05:30,[22273]
79,367,2020-09-10T11:35:05+05:30,"[21864, 21865]"
80,367,2020-09-09T18:57:09+05:30,[22273]
81,367,2020-09-09T17:12:29+05:30,[22273]
82,367,2020-09-09T14:57:42+05:30,"[21682, 21683]"
83,367,2020-09-08T19:25:52+05:30,"[21682, 21683]"
84,367,2020-09-08T16:00:07+05:30,"[21688, 20145]"
85,367,2020-09-07T18:40:29+05:30,"[20138, 20139]"
86,367,2020-09-07T15:51:23+05:30,[22273]
87,367,2020-09-05T17:42:31+05:30,[22273]
88,367,2020-09-05T11:07:42+05:30,"[20136, 20140, 20141]"
89,367,2020-09-04T19:01:45+05:30,"[21682, 21683]"
90,367,2020-09-04T16:42:41+05:30,"[22384, 22273, 22382, 22383]"
91,367,2020-09-03T19:13:46+05:30,"[21682, 21683]"
92,367,2020-09-03T14:59:36+05:30,"[21864, 21865]"
93,367,2020-09-02T16:27:58+05:30,"[21682, 21683]"
94,367,2020-09-01T17:03:10+05:30,[22211]
95,367,2020-09-01T16:16:29+05:30,"[21864, 21865]"
96,367,2020-08-31T19:15:24+05:30,[22273]
97,367,2020-08-31T15:35:50+05:30,"[21682, 21683]"
98,367,2020-08-29T15:40:27+05:30,"[22208, 22273, 22307, 22382, 22074]"
99,367,2020-08-29T08:42:29+05:30,[20136]
100,367,2020-08-28T16:19:07+05:30,"[20138, 20139]"
101,367,2020-08-27T18:43:19+05:30,[21865]
102,367,2020-08-27T16:35:13+05:30,"[21682, 21683]"
103,367,2020-08-26T17:30:08+05:30,"[22273, 22382, 22383]"
104,367,2020-08-26T14:36:30+05:30,"[22629, 22382, 22383]"
105,367,2020-08-25T15:00:47+05:30,"[22208, 22273, 22382, 22383]"
106,367,2020-08-24T19:22:15+05:30,[22307]
107,367,2020-08-24T15:09:28+05:30,"[21682, 21683]"
108,367,2020-08-22T19:38:25+05:30,[21862]
109,367,2020-08-22T16:59:57+05:30,"[21864, 21865]"
110,367,2020-08-21T18:09:53+05:30,"[22208, 22273, 22382, 22383]"
111,367,2020-08-21T15:47:58+05:30,"[21864, 21865]"
112,367,2020-08-20T19:19:34+05:30,"[22273, 22074, 22382, 22383]"
113,367,2020-08-20T14:58:51+05:30,"[21682, 21683]"
114,367,2020-08-19T17:51:46+05:30,"[21682, 21683]"
115,367,2020-08-19T15:37:54+05:30,"[22208, 22307]"
116,367,2020-08-18T15:38:29+05:30,"[21552, 21682, 21683]"
117,367,2020-08-18T13:36:22+05:30,"[21159, 19631, 19632, 19633, 22289, 22290]"
118,367,2020-08-17T18:40:25+05:30,[22211]
119,367,2020-08-17T17:16:46+05:30,[22273]
120,367,2020-08-16T20:00:33+05:30,"[20138, 20139]"
121,367,2020-08-14T14:09:14+05:30,"[21682, 21683]"
122,367,2020-08-13T19:08:17+05:30,"[21864, 21865, 21862]"
123,367,2020-08-13T17:09:40+05:30,"[21682, 21683]"
124,367,2020-08-12T18:57:09+05:30,"[20136, 20138]"
125,367,2020-08-12T15:44:27+05:30,"[21552, 21682, 21683]"
126,367,2020-08-11T15:53:37+05:30,"[20138, 20139]"
127,367,2020-08-10T19:42:22+05:30,[21862]
128,367,2020-08-10T16:15:51+05:30,"[21787, 21788]"
129,367,2020-08-08T18:54:42+05:30,"[20138, 20139]"
130,367,2020-08-08T11:01:03+05:30,"[20136, 20140, 20144]"
131,367,2020-08-07T18:50:03+05:30,"[21682, 21683]"
132,367,2020-08-07T15:40:13+05:30,"[21315, 21158, 21159]"
133,367,2020-08-06T19:02:10+05:30,[21788]
134,367,2020-08-06T16:41:38+05:30,"[20018, 20019]"
135,367,2020-08-05T16:25:32+05:30,"[21682, 21683]"
136,367,2020-08-04T14:31:01+05:30,"[19850, 21157, 21159]"
137,367,2020-08-03T17:00:05+05:30,"[20138, 20139]"
138,367,2020-08-01T18:31:31+05:30,"[20136, 20138]"
139,367,2020-07-31T19:33:18+05:30,"[20138, 20139]"
140,367,2020-07-31T14:23:57+05:30,"[21864, 21862]"
141,367,2020-07-30T18:01:26+05:30,"[21682, 21683]"
142,367,2020-07-30T13:36:53+05:30,"[20018, 20019]"
143,367,2020-07-29T18:08:12+05:30,"[19842, 20018, 19813]"
144,367,2020-07-29T15:31:02+05:30,"[21682, 21683]"
145,367,2020-07-28T16:11:19+05:30,"[20145, 20138, 20139]"
146,367,2020-07-27T18:59:10+05:30,"[20018, 20019]"
147,367,2020-07-26T14:42:54+05:30,"[20018, 20019]"
148,367,2020-07-25T17:36:47+05:30,"[21552, 21682, 21683]"
149,367,2020-07-25T15:52:45+05:30,[21864]
150,367,2020-07-24T16:32:13+05:30,[21552]
151,367,2020-07-23T17:28:55+05:30,"[21682, 21683]"
152,367,2020-07-22T17:12:08+05:30,"[20136, 20137, 20138, 20139]"
153,367,2020-07-21T19:45:44+05:30,"[19624, 19625, 21212, 22009]"
154,367,2020-07-21T17:43:52+05:30,"[21943, 21944, 21945, 21946, 21947]"
155,367,2020-07-20T18:11:16+05:30,"[20018, 20019]"
156,367,2020-07-20T15:30:53+05:30,"[21945, 21946, 21947, 21943]"
157,367,2020-07-19T21:29:40+05:30,[20140]
158,367,2020-07-18T19:05:04+05:30,"[20137, 20138, 20139]"
159,367,2020-07-18T17:03:56+05:30,"[21682, 21683, 21684]"
160,367,2020-07-17T18:21:26+05:30,[20136]
161,367,2020-07-17T14:38:51+05:30,"[19667, 19891]"
162,367,2020-07-16T20:09:43+05:30,[20138]
163,367,2020-07-16T19:28:56+05:30,[21864]
164,367,2020-07-16T17:50:47+05:30,"[20018, 20019]"
165,367,2020-07-16T16:28:10+05:30,"[21682, 21683]"
166,367,2020-07-15T18:32:45+05:30,[19891]
167,367,2020-07-15T17:43:20+05:30,"[19624, 19626, 19627]"
168,367,2020-07-14T15:47:51+05:30,"[20138, 20139]"
169,367,2020-07-14T12:10:24+05:30,"[19620, 19621, 19750, 19847, 19780, 19781, 19850, 19869, 19870]"
170,367,2020-07-13T17:39:05+05:30,"[21384, 21396, 21401, 21403, 21404, 21406]"
171,367,2020-07-11T19:20:05+05:30,"[20018, 20019]"
172,367,2020-07-11T18:21:26+05:30,"[21224, 19891, 20020]"
173,367,2020-07-10T19:42:36+05:30,"[20128, 20133, 19753, 21161, 20127]"
174,367,2020-07-10T17:49:19+05:30,[19891]
175,367,2020-07-09T15:05:18+05:30,"[20128, 20129, 20130, 19619, 19623, 19818, 20127]"
176,367,2020-07-09T14:42:51+05:30,"[19818, 19627]"
177,367,2020-07-08T18:14:41+05:30,"[21315, 19619, 21157, 21158, 21159, 19782, 19817, 19626, 19627, 21156, 21361, 21362, 20119, 21241, 21242, 19869, 19870]"
178,367,2020-07-08T12:14:43+05:30,[19615]
179,367,2020-07-07T19:36:02+05:30,"[20018, 20019]"
180,367,2020-07-06T19:21:05+05:30,[20140]
181,367,2020-07-04T19:33:50+05:30,[20136]
182,367,2020-07-04T16:36:36+05:30,"[19625, 19850, 19871]"
183,367,2020-07-03T17:45:07+05:30,[20136]
184,367,2020-07-02T18:57:06+05:30,[20139]
185,367,2020-07-02T11:33:18+05:30,"[19624, 19625, 19849, 19871]"
186,367,2020-07-01T17:46:26+05:30,[20141]
187,367,2020-06-30T15:45:24+05:30,[19619]
188,367,2020-06-30T14:42:28+05:30,"[19626, 19627]"
189,367,2020-06-29T15:13:02+05:30,"[19825, 21242, 19620, 19847]"
190,367,2020-06-29T14:56:16+05:30,[19620]
191,367,2020-06-29T14:16:51+05:30,"[19626, 19627, 19847]"
192,367,2020-06-29T13:02:30+05:30,"[19625, 19627]"
193,497,2020-09-17T18:43:42+05:30,"[21361, 21362]"
194,497,2020-09-17T13:59:54+05:30,"[22362, 23122]"
195,497,2020-09-17T13:41:41+05:30,"[21248, 21157, 19627, 21773, 21774]"
196,497,2020-09-17T12:21:03+05:30,"[21250, 23107, 23108, 22309, 19626, 19627, 23120, 23121]"
197,497,2020-09-16T19:03:11+05:30,"[23107, 23108, 19869, 19870]"
198,497,2020-09-16T15:19:19+05:30,"[23107, 23108, 22764, 22765, 19869, 19870]"
199,497,2020-09-16T13:58:15+05:30,"[21780, 19869, 19870, 19847]"
200,497,2020-09-16T12:48:25+05:30,"[19847, 19849, 19851, 19868, 20128, 20129, 22949, 21158, 22950, 19497, 19626, 22955, 22956, 19627, 22957, 19631, 19632, 19633, 22361]"
201,497,2020-09-16T10:46:04+05:30,"[19619, 21212]"
202,497,2020-09-15T18:56:33+05:30,"[20130, 19630, 19633, 21363, 22361, 20127]"
203,497,2020-09-15T13:01:08+05:30,"[19625, 19626, 19627, 19849]"
204,497,2020-09-15T12:54:44+05:30,"[21250, 21315, 23107, 22309, 23108, 19497, 19626, 19627, 19850, 23120, 23121, 23122, 19825, 22290, 22326]"
205,497,2020-08-07T13:43:42+05:30,"[21825, 21826, 19621, 21774, 21780]"
206,497,2020-08-06T19:26:47+05:30,"[22090, 19627]"
207,497,2020-08-06T18:14:03+05:30,"[21825, 21826]"
208,497,2020-08-06T15:36:05+05:30,"[21157, 21158, 19851, 21779, 21780, 19869, 19870]"
209,497,2020-08-06T14:09:40+05:30,"[21250, 19497, 19626, 19851, 19850]"
210,497,2020-08-05T14:50:42+05:30,"[19619, 19624, 19625, 19849, 19627, 19850, 19630, 19633, 22225, 21363]"
211,497,2020-08-05T14:40:03+05:30,"[21825, 21157, 19750, 21991, 19497, 19626, 19850, 19631, 19632, 22225, 19869, 19870]"
212,497,2020-08-05T10:55:15+05:30,[21248]
213,497,2020-08-01T13:51:50+05:30,"[19621, 19847, 19624, 19849, 19851]"
214,497,2020-07-31T11:59:56+05:30,"[19847, 19849, 19818, 19627, 19497, 19631, 19825]"
215,497,2020-07-31T10:59:27+05:30,"[19632, 19497, 19627, 19851]"
216,497,2020-07-30T18:08:44+05:30,"[19619, 21212, 20119]"
217,497,2020-07-30T15:41:55+05:30,[19627]
218,497,2020-07-29T17:41:08+05:30,[21862]
219,497,2020-07-27T16:35:56+05:30,"[20136, 20140, 20141]"
220,497,2020-07-25T16:31:47+05:30,[22074]
221,497,2020-07-25T14:22:07+05:30,"[21784, 19626, 19627, 19868]"
222,497,2020-07-24T12:40:46+05:30,"[19620, 21991, 19849, 19626, 19627, 19825]"
223,497,2020-07-24T11:43:52+05:30,"[19621, 21991, 19624, 19849, 19847]"
224,497,2020-07-23T18:57:30+05:30,"[20128, 20129, 20130, 21991, 19636, 19868]"
225,497,2020-07-23T17:16:36+05:30,[19631]
226,497,2020-07-22T15:08:21+05:30,"[20144, 20139]"
227,497,2020-07-22T13:14:40+05:30,"[21156, 21157, 21158, 21159, 21991, 19620, 22090, 19627, 21774, 21361, 21778, 21779, 21780, 21783, 19897, 19869, 19870]"
228,497,2020-07-21T13:39:24+05:30,"[19621, 21991, 19624, 19625, 19849, 19627, 21363]"
229,497,2020-07-20T18:20:34+05:30,"[19619, 21212, 20119]"
230,497,2020-07-20T15:12:20+05:30,[19897]
231,497,2020-07-20T13:07:21+05:30,"[21315, 21158, 19847, 19849, 19850, 19627, 21784]"
232,497,2020-07-18T19:46:15+05:30,[19825]
233,497,2020-07-18T18:30:58+05:30,[21862]
234,497,2020-07-18T15:58:40+05:30,"[19497, 19627, 19869, 19870]"
235,497,2020-07-17T13:59:18+05:30,"[20144, 20139]"
236,497,2020-07-17T13:44:02+05:30,"[21363, 21238, 21784, 19869, 19870]"
237,497,2020-07-16T18:26:17+05:30,"[19624, 19825, 19632, 19631]"
238,497,2020-07-16T11:27:43+05:30,"[19625, 19621]"
239,497,2020-07-16T11:00:26+05:30,"[19497, 19631]"
240,497,2020-07-15T17:45:25+05:30,"[19619, 19623, 19624, 19817, 19818, 19627, 19850]"
241,497,2020-07-15T15:00:21+05:30,"[21250, 19497, 19817, 21363, 21238]"
242,497,2020-07-14T14:32:49+05:30,"[19825, 21363, 21156, 21158]"
243,497,2020-07-14T14:07:38+05:30,"[19817, 21250, 21363, 21238]"
244,497,2020-07-14T13:26:26+05:30,"[19817, 19850, 21361, 21362, 21363]"
245,497,2020-07-13T19:10:43+05:30,"[19497, 19903, 19630, 19631]"
246,497,2020-07-13T14:50:10+05:30,"[19817, 19818, 21363, 19849]"
247,497,2020-07-11T13:05:52+05:30,"[19497, 19903]"
248,497,2020-07-10T18:45:22+05:30,"[19619, 19847, 19623, 19497, 19817]"
249,497,2020-07-10T11:22:41+05:30,"[19624, 19625, 19817, 19825]"
250,497,2020-07-09T12:51:56+05:30,[19825]
251,497,2020-07-09T12:26:32+05:30,"[19905, 19497, 19626, 19627, 19849, 19851, 21363, 21238, 19768]"
252,497,2020-07-09T11:53:16+05:30,"[19849, 19626, 19627, 19847]"
253,497,2020-07-09T11:22:39+05:30,"[19497, 19850, 19851, 19631]"
254,497,2020-07-08T18:32:31+05:30,"[19624, 19626, 19627]"
255,497,2020-07-08T17:38:52+05:30,"[19624, 19626, 19627]"
256,497,2020-07-08T12:29:43+05:30,"[19623, 19817, 19818, 19825, 20119]"
257,497,2020-07-07T12:40:17+05:30,"[19624, 19497, 19817, 19818, 21161, 19630, 19631, 19633]"
258,497,2020-07-06T12:38:06+05:30,"[19847, 19497, 19849, 19817, 19869, 19870]"
259,497,2020-07-04T13:41:06+05:30,"[21156, 21157, 19497, 19849, 19631, 19632, 21241, 19869, 19870]"
260,497,2020-07-04T12:03:42+05:30,"[19619, 19847, 19624, 19625, 19849]"
261,497,2020-07-04T11:48:23+05:30,"[19905, 21250, 19847, 19817, 19497, 19849, 19631]"
262,497,2020-07-03T18:26:38+05:30,"[21156, 21157, 19847, 19849, 19626, 19627, 19850, 19825, 21361, 21362, 21363]"
263,497,2020-07-03T12:59:46+05:30,"[19905, 19621, 19623, 19624, 19626, 19627, 21212]"
264,497,2020-07-03T12:36:38+05:30,"[19626, 19627]"
265,497,2020-07-03T12:19:43+05:30,"[19870, 21248, 19627, 19758]"
266,497,2020-07-02T17:03:15+05:30,[19627]
267,497,2020-07-02T16:42:00+05:30,"[21160, 19905, 19780]"
268,497,2020-06-30T16:19:39+05:30,"[20128, 20129, 19621, 19847, 19817, 19818, 19849, 19850, 19851, 19631, 19632, 19869, 19870, 20127]"
269,497,2020-06-29T13:05:56+05:30,"[19623, 19624, 19817, 19847, 19627, 19850, 19825]"
270,713,2020-09-17T18:37:53+05:30,"[22704, 21682, 21555, 21684, 21683, 21788, 21789]"
271,713,2020-09-17T14:32:27+05:30,"[22091, 22092, 22699, 22703, 21943, 21947, 21788]"
272,713,2020-09-16T18:59:46+05:30,"[22384, 22382, 22383]"
273,713,2020-09-16T15:02:56+05:30,"[21682, 21683, 21684, 21787, 21788]"
274,713,2020-09-15T17:59:58+05:30,"[21682, 21683, 21788]"
275,713,2020-09-14T19:52:04+05:30,"[22382, 22383]"
276,713,2020-09-14T18:35:25+05:30,"[21682, 21683, 21684, 21787, 21788]"
277,713,2020-09-12T19:15:20+05:30,"[22091, 22699, 21682, 21683, 21684, 21788]"
278,713,2020-09-12T13:34:47+05:30,"[22384, 22628, 22382, 22383]"
279,713,2020-09-11T18:35:29+05:30,"[22091, 22699, 22700, 21682, 21683, 21684, 21943, 21947, 21788]"
280,713,2020-09-10T18:07:21+05:30,"[22208, 22273, 22382, 22383, 22384]"
281,713,2020-09-09T19:05:50+05:30,"[21682, 21555, 21684, 21683, 21787, 21788, 21789, 21790, 21791]"
282,713,2020-09-08T17:23:09+05:30,"[22694, 22695, 22091, 22092, 22701, 22699, 22700, 21944, 21945, 21946, 21947, 21788]"
283,713,2020-09-07T17:19:21+05:30,"[21682, 21683, 21684, 21787, 21788, 21789, 21790]"
284,713,2020-09-05T17:08:03+05:30,"[21682, 21683, 21684, 21787, 21788]"
285,713,2020-09-04T18:49:47+05:30,"[21682, 21683, 21684, 21787, 21788, 21789, 21790]"
286,713,2020-09-03T19:46:30+05:30,"[22695, 22696, 22091, 22700, 22699, 22701, 22703, 21943, 21944, 21945, 21946, 21947]"
287,713,2020-09-03T16:51:56+05:30,"[21682, 21683, 21787, 21788, 21790]"
288,713,2020-09-02T18:11:04+05:30,"[21682, 21683, 21684, 21787, 21788]"
289,713,2020-09-01T16:46:16+05:30,"[21682, 21683, 21684, 21787, 21788, 21790]"
290,713,2020-08-31T19:10:07+05:30,"[21787, 21684, 21788]"
291,713,2020-08-31T17:57:55+05:30,"[22695, 22696, 22697, 22091, 22699, 22700, 22701, 22703, 21682, 21683, 21943, 21947]"
292,713,2020-08-29T17:53:37+05:30,"[22691, 22692, 22693, 22694, 22695, 22696, 22697, 22699, 22700, 22701, 22091, 22703, 22704]"
293,713,2020-08-29T15:36:16+05:30,"[21682, 21683, 21684, 21787, 21788, 21789, 21790, 21791]"
294,713,2020-08-28T18:18:43+05:30,"[21677, 21678, 21682, 21555, 21683, 21684, 21788, 21789, 21790]"
295,713,2020-08-27T18:19:50+05:30,"[22091, 22092, 22093, 21943, 21944, 21945, 21946, 21947, 21788]"
296,713,2020-08-26T18:29:27+05:30,"[21682, 21683, 21684, 21787, 21788]"
297,713,2020-08-26T15:04:50+05:30,"[22625, 22211, 22307, 22630, 22382, 22383, 22384]"
298,713,2020-08-25T18:54:11+05:30,"[21683, 21684, 21788]"
299,713,2020-08-25T17:44:46+05:30,"[22625, 22307, 22629, 22630, 22382, 22383, 22385]"
300,713,2020-08-25T15:37:14+05:30,"[22091, 22092, 22093, 21943, 21944, 21945, 21946, 21947, 21788]"
301,713,2020-08-24T17:14:55+05:30,"[21682, 21683, 21684, 21787, 21788, 21789, 21790]"
302,713,2020-08-22T18:10:34+05:30,"[22208, 22307, 22382, 22383, 22384]"
303,713,2020-08-22T15:57:11+05:30,"[22384, 22382, 22383]"
304,713,2020-08-21T19:34:39+05:30,"[22091, 21943, 21944, 21945, 21946, 21947, 21788]"
305,713,2020-08-21T14:55:01+05:30,"[21677, 21678, 21552, 21553, 21682, 21683, 21684, 21685, 21686, 21787, 21788, 21789, 21790, 21791]"
306,713,2020-08-20T17:39:05+05:30,"[21787, 21788, 21789, 21790, 21791]"
307,713,2020-08-19T19:08:46+05:30,"[22208, 22307, 22074, 22211]"
308,713,2020-08-19T16:26:13+05:30,"[21684, 21685, 21686, 21787, 21788, 21789, 21790, 21791]"
309,713,2020-08-18T19:04:15+05:30,"[22208, 22307, 22211, 22212]"
310,713,2020-08-18T16:19:57+05:30,"[21862, 21863]"
311,713,2020-08-17T19:47:31+05:30,"[22091, 22092, 22093, 21682, 21683, 21684, 21943, 21944, 21945, 21946, 21947]"
312,713,2020-08-17T17:40:17+05:30,"[21865, 21862]"
313,713,2020-08-14T20:01:09+05:30,"[21682, 21683, 21684, 21788, 21789, 21790]"
314,713,2020-08-14T19:34:07+05:30,"[22091, 22093, 21682, 21555, 21683, 21684, 21943, 21944, 21945, 21946, 21947, 21789, 21790]"
315,713,2020-08-14T15:42:49+05:30,"[22091, 22092, 22093, 21682, 21943, 21944, 21945, 21946, 21947, 21788]"
316,713,2020-08-13T18:58:44+05:30,"[22091, 22092, 22093, 21684, 21943, 21944, 21945, 21946, 21947, 21788]"
317,713,2020-08-13T15:53:36+05:30,"[22091, 22092, 22093, 21682, 21683, 21943, 21944, 21945, 21946, 21947, 21789, 21790]"
318,713,2020-08-12T18:28:18+05:30,"[22091, 22092, 22093, 21682, 21683, 21943, 21944, 21945, 21946, 21947]"
319,713,2020-08-12T15:19:44+05:30,"[22091, 22092, 22093, 21943, 21944, 21945, 21946, 21947]"
320,713,2020-08-11T19:26:26+05:30,"[22091, 22092, 22093, 21943, 21944, 21945, 21946, 21947]"
321,713,2020-08-11T16:49:29+05:30,"[21682, 21683, 21787, 21788, 21789, 21790, 21791]"
322,713,2020-08-10T19:45:55+05:30,"[21787, 21788, 21789, 21791]"
323,713,2020-08-10T15:03:22+05:30,"[21787, 21788, 21789, 21790]"
324,713,2020-08-08T17:59:00+05:30,"[21677, 21678, 21682, 21683, 21684, 21788]"
325,713,2020-08-07T18:01:14+05:30,[21862]
326,713,2020-08-06T20:03:30+05:30,"[21682, 21683]"
327,713,2020-08-06T17:04:43+05:30,"[21682, 21683]"
328,713,2020-08-05T17:08:44+05:30,"[21682, 21683, 21684, 21788]"
329,713,2020-08-05T17:00:40+05:30,"[21682, 21683, 21684, 21788]"
330,713,2020-08-04T18:46:11+05:30,"[21677, 21678, 21682, 21683, 21788]"
331,713,2020-07-31T17:03:20+05:30,"[21682, 21683]"
332,713,2020-07-29T18:28:36+05:30,"[22074, 22206]"
333,713,2020-07-29T17:02:24+05:30,[22207]
334,713,2020-07-28T17:29:04+05:30,"[21682, 21683, 21788]"
335,713,2020-07-27T18:32:59+05:30,"[19719, 21224, 20018, 20019, 19668, 21243]"
336,713,2020-07-27T13:26:27+05:30,"[20018, 20019]"
337,713,2020-07-25T16:19:33+05:30,"[21224, 20018, 20019, 21243]"
338,713,2020-07-23T18:09:03+05:30,[21862]
339,713,2020-07-22T17:31:20+05:30,"[21682, 21683, 21788]"
340,713,2020-07-21T15:13:27+05:30,"[21677, 21678, 21682, 21683, 21788]"
341,713,2020-07-20T18:42:00+05:30,[20136]
342,713,2020-07-18T17:03:54+05:30,"[20018, 20019]"
343,713,2020-07-17T17:06:31+05:30,"[20018, 20019]"
344,713,2020-07-16T18:05:14+05:30,"[21862, 21863]"
345,713,2020-07-16T17:20:41+05:30,"[21862, 21863]"
346,713,2020-07-15T17:27:31+05:30,[20019]
347,713,2020-07-14T19:18:11+05:30,"[19842, 19878]"
348,713,2020-07-10T20:17:58+05:30,"[20018, 20019]"
349,713,2020-07-10T15:20:37+05:30,"[20018, 20019]"
350,713,2020-07-09T17:10:38+05:30,[19871]
351,713,2020-07-08T18:17:10+05:30,"[20018, 20019]"
352,713,2020-07-07T18:25:42+05:30,"[20018, 20019]"
353,713,2020-07-06T18:32:49+05:30,"[20018, 20019]"
354,713,2020-07-04T18:41:28+05:30,"[20018, 20019]"
355,713,2020-07-03T16:19:40+05:30,"[19842, 19878, 21224, 19889, 19890, 20019]"
356,713,2020-07-02T17:55:58+05:30,"[20018, 20019]"
357,713,2020-07-01T17:11:55+05:30,"[20018, 20019]"
358,713,2020-06-30T18:35:41+05:30,"[20018, 20019]"
359,713,2020-06-29T15:49:32+05:30,"[19842, 19878]"
